Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
Next Point Capital;https://www.crunchbase.com/organization/next-point-capital;1;;Los Angeles, California, United States;Private Equity Firm;They are a private equity firm focused on leveraged buyouts in the lower middle market.;http://nextpointcapital.com/;;;;1;;;;
Next Generation Ventures;https://www.crunchbase.com/organization/next-generation-ventures;2;2;San Francisco, California, United States;Micro VC;Next Generation Ventures is a California-based company that offers early and seed stage investment services.;http://nextgenerationventures.com;;;;2;1;;;
NewSpeed Capital;https://www.crunchbase.com/organization/newspeed-capital;1;1;San Mateo, California, United States;Private Equity Firm;NewSpeed acquires ownership positions in and operates technology companies. Focus is on all aspects of Commu. & Internet Infrastructure.;http://www.newspeedcapital.com/;;;;1;;;;
NewPath Ventures;https://www.crunchbase.com/organization/newpath-ventures;7;2;Santa Clara, California, United States;Venture Capital;NewPath Ventures proactively creates and funds leading-edge startup companies that focus on systems, silicon, software and services.;http://www.newpathventures.com;;;;4;2;;;
NewGen Capital;https://www.crunchbase.com/organization/new-gen-partners;29;1;Palo Alto, California, United States;Micro VC;NewGen Capital is a Silicon Valley early-stage venture capital firm founded by an exceptional team of seasoned entrepreneurs.;http://www.newgencap.com;https://twitter.com/NewGenSV;https://www.facebook.com/NewGen-Capital-598290090195398/;https://www.linkedin.com/company/newgen-venture-partners;27;;;;
NewDo Venture;https://www.crunchbase.com/organization/newdo-venture;11;1;Santa Clara, California, United States;Venture Capital;NewDo devotes to help ambitious startup companies to succeed at their initial stage with our fund and other strategic resources.;https://newdoventure.com;;;;10;;;;
Newbury Ventures;https://www.crunchbase.com/organization/newbury-ventures;41;19;Menlo Park, California, United States;Venture Capital;Newbury Ventures deploys early stage capital across various technology market sectors;http://newburyven.com/;http://twitter.com/NewburyVC;;http://www.linkedin.com/company/newbury-ventures;30;12;;;
New School Venture fund;https://www.crunchbase.com/organization/new-school-venture-fund;1;;Oakland, California, United States;Venture Capital;New School Venture fund was added in 2013.;http://www.newschools.org;;;;1;;;;
New Millenium Partners;https://www.crunchbase.com/organization/new-millenium-partners;7;1;Mount Shasta, California, United States;Venture Capital;New Millennium Partners (NMP) has a bimodal investment approach that focuses primarily on first round seed companies and then also in;http://www.nmpartners.com;http://twitter.com/bobsenoff;;;5;1;;;
New Media Ventures;https://www.crunchbase.com/organization/new-media-ventures;2;2;San Francisco, California, United States;Venture Capital;New Media Ventures is a community of more than sixty technology leaders, venture capitalists, entrepreneurs, philanthropists, and;http://www.newmediaventures.org;http://twitter.com/newmediaventure;;;2;1;;;
New Island Capital;https://www.crunchbase.com/organization/new-island-capital;2;1;San Francisco, California, United States;Venture Capital;New Island Capital Management, Inc. is a San Francisco-based investment advisor.;http://newislandcap.com;;;;2;;;;
New Evolution Ventures (NeV);https://www.crunchbase.com/organization/new-evolution-ventures-nev;1;;Lafayette, California, United States;Micro VC;New Evolution Ventures (NeV) was founded in 2008;http://www.nev.com;;;;1;1;;;
New Enterprise Associates;https://www.crunchbase.com/organization/new-enterprise-associates;1,184;229;Menlo Park, California, United States;Venture Capital;New Enterprise Associates is a California-based global venture capital firm that funds companies across all investment stages.;http://www.nea.com;http://twitter.com/neavc;http://www.facebook.com/NEAvc;http://www.linkedin.com/company/new-enterprise-associates;688;434;;;
New Cycle Capital;https://www.crunchbase.com/organization/new-cycle-capital;8;1;San Francisco, California, United States;Venture Capital;New Cycle Capital is a California-based venture capital firm specialized in early-stage investments.;http://www.newcyclecapital.com;;;;6;;;;
Neuron.VC;https://www.crunchbase.com/organization/neuronvc;2;1;Redwood City, California, United States;Venture Capital;NeuronVC is a fund for early stage application-verticalized deep learning startups.;https://neuron.vc;https://twitter.com/neuronvc;https://www.facebook.com/NeuronVC;https://www.linkedin.com/company/neuron.vc;2;;;;
NetWorth Partners;https://www.crunchbase.com/organization/networth-partners;3;1;San Diego, California, United States;Venture Capital;NetWorth Partners is a group of professionals with varying backgrounds, who recognized long ago that the real estate and mortgage industry;http://www.cameronrealestateservices.com;http://twitter.com/mcameron3;;;3;2;;;
Network Angel Capital;https://www.crunchbase.com/organization/network-angel-capital;1;;San Francisco, California, United States;Venture Capital;Network Angel Capital is a company seeking high growth private companies who need funding for new ventures.;http://www.;;;;1;;;;
NETCIRQ;https://www.crunchbase.com/organization/netcirq;;;San Francisco, California, United States;Private Equity Firm;Secondary Shares/Venture Capital;http://www.NETCIRQ.com;;;;;;;;
Net Effect Technologies;https://www.crunchbase.com/organization/net-effect-technologies;1;;Monrovia, California, United States;Private Equity Firm;Net Effect Technologies actively partners with entrepreneurs to turn good ideas into good business opportunities.;http://www.neteffecttech.com;;;;1;;;;
NeoCarta Ventures;https://www.crunchbase.com/organization/neocarta-ventures;52;19;San Mateo, California, United States;Venture Capital;NeoCarta Ventures is a leading venture capital firm with offices in Menlo Park and Boston. They bring capital, experience, and strategic;http://www.neocarta.com;;;;31;11;;;
Naxuri Capital;https://www.crunchbase.com/organization/naxuri-capital;1;;Redwood City, California, United States;Venture Capital;Fund investing in Fash Tech start-ups;http://www.naxuricapital.com;;;;1;;;;
Navitas Capital;https://www.crunchbase.com/organization/navitas;20;1;Los Angeles, California, United States;Venture Capital;Navitas Capital is a venture capital firm at the intersection of the IT and Energy sectors with a focus on Real Estate + Construction Tech;http://www.navitascap.com;https://twitter.com/navitascapital;;https://www.linkedin.com/company/navitas-capital-llc;14;5;;;
Nautilus Venture Partners;https://www.crunchbase.com/organization/nautilus-venturepartners;6;2;Cupertino, California, United States;Venture Capital;Nautilus Venture Partners is an early stage venture capital firm.;http://nautilusvp.com/;;;;6;2;;;
Nations Advisory Partners;https://www.crunchbase.com/organization/nations-advisory-partners;1;;Los Angeles, California, United States;Micro VC;Nations Advisory Partners was added in 2011.;;;;;1;;;;
National Healthcare Services;https://www.crunchbase.com/organization/national-healthcare-services;6;3;Long Beach, California, United States;Private Equity Firm;National Healthcare Services is a California-based private equity firm that funds companies which offer innovative products and services.;http://www.nationalhealthcareservices.com;;;;6;3;;;
NantCapital;https://www.crunchbase.com/organization/nantcapital;1;1;Culver City, California, United States;Venture Capital;Investment vehicle of Dr. Patrick Soon-Shiong, founder of NantWorks.;http://www.nantworks.com;https://twitter.com/nantcapital;;;1;1;;;
nanoBridge;https://www.crunchbase.com/organization/nanobridge;1;;San Jose, California, United States;Micro VC;nanoBridge was added to Crunchbase.;;;;;1;;;;
NALA Investments;https://www.crunchbase.com/organization/nala-investments;6;3;Santa Monica, California, United States;Venture Capital;NALA Investments, a private investment company, invests in energy, transportation, real estate, technology, and media industries.;http://nalainvestments.com;http://twitter.com/NALAInvestments;;;6;;;;
Naiss;https://www.crunchbase.com/organization/naiss;;;Palo Alto, California, United States;Venture Capital;A Palo Alto venture capital boutique, mission driven, helping outliers thrive and prepare for exit;http://naiss.io;;;;;;;;
Murano Group;https://www.crunchbase.com/organization/muranogroup;;;San Francisco, California, United States;Private Equity Firm;Murano Group is a privately owned holding company that invests its own capital to create long term value.;http://www.murano-group.com/;;;;;;;;
Mulago Foundation;https://www.crunchbase.com/organization/mulago-foundation;1;;San Francisco, California, United States;Private Equity Firm;Mulago Foundation provides funding for organizations that work to aid those in extreme poverty.;http://www.mulagofoundation.org;http://twitter.com/mulagostarr;;;1;;;;
Mountain Capital;https://www.crunchbase.com/organization/mountain-capital;1;;California, United States, North America;Corporate Venture Capital;Mountain Capital Fund, L.P., one of the investment funds of MediaTek Inc., is focusing on high tech and innovative investments.;http://www;;;;1;1;;;
Mount Wilson Ventures;https://www.crunchbase.com/organization/mount-wilson-ventures;4;;Pasadena, California, United States;Venture Capital;We co-found and invest in early-stage companies with a focus on the hard sciences;http://www.mountwilsonvc.com/;https://twitter.com/mtwilsonvc;;https://www.linkedin.com/company/mount-wilson-ventures;4;;;;
Mosaik Partners;https://www.crunchbase.com/organization/mosaik-partners;10;;San Francisco, California, United States;Venture Capital;Mosaik Partners provides entrepreneurs the capital, resources and guidance necessary to execute on innovative commerce enabling products.;http://www.mosaikpartners.com/;https://www.twitter.com/mosaikpartners;https://www.facebook.com/mosaikpartners;;7;7;;;
Morpheus Ventures;https://www.crunchbase.com/organization/morpheus-ventures;4;;Los Angeles, California, United States;Venture Capital;Morpheus Ventures is an early stage venture capital fund.;http://www.morpheus.com/;;;https://www.linkedin.com/company/15161471?trk=prof-exp-company-name;3;;;;
Morgenthaler Ventures;https://www.crunchbase.com/organization/morgenthaler-ventures;240;53;Menlo Park, California, United States;Venture Capital;Morgenthaler Ventures is a venture capital and private equity firm that invests in IT and life sciences companies.;http://www.morgenthaler.com;http://twitter.com/Morgenthaler_V;https://www.facebook.com/morgenthalerventures;;121;53;;;
Morado Venture Partners;https://www.crunchbase.com/organization/morado-ventures-partners;188;21;Palo Alto, California, United States;Venture Capital;Morado Venture Partners will focus on early-stage start-ups in the Internet consumer arena, as well as in the platform space.;http://www.moradoventures.com;;;;99;8;;;
Moore Venture Partners;https://www.crunchbase.com/organization/moore-venture-partners;7;1;Encinitas, California, United States;Venture Capital;Moore Venture Partners (MVP) is a traditional venture capital fund investing in early, growth, and expansion-stage technology and life;http://www.moorevp.com;;;;7;;;;
Montreux Equity Partners;https://www.crunchbase.com/organization/montreaux-equity-partners;51;14;San Francisco, California, United States;Venture Capital;Montreux Equity Partners is a private investment firm dedicated to building the leading healthcare companies of tomorrow.;http://mepvc.com;;;https://www.linkedin.com/company/3922200?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3922200%2Cidx%3A1-1-1%2CtarId%3A1441118244172%2Ctas%3AMontreux%20Equity%20Partners%20;32;7;;;
Monthly Ventures;https://www.crunchbase.com/organization/monthly-ventures;3;;San Francisco, California, United States;Venture Capital;Silicon Valley seed fund investing in the worldâ€™s best companies of today and tomorrow.;http://www.monthlyventures.com/;http://twitter.com/monthlyventures;http://www.facebook.com/monthlyventures;;2;;;;
Montage Ventures;https://www.crunchbase.com/organization/montage-ventures;30;1;Menlo Park, California, United States;Micro VC;Montage Ventures is a destination for start-ups looking for investment between Angel and Series A rounds.;http://montageventures.com/;http://twitter.com/montageventures;https://www.facebook.com/montageventures;;19;4;;;
Montage Capital;https://www.crunchbase.com/organization/montage-capital;3;;Cupertino, California, United States;Venture Capital;Montage Capital represents a new breed of financial partner for growing businesses. The firm offers entrepreneurs a viable option to;http://www.montagecapital.com;http://twitter.com/montagecapital;http://www.facebook.com/pages/Montage-Capital/579322988795619;http://www.linkedin.com/company/montage-capital;3;1;;;
Monta Vista Capital;https://www.crunchbase.com/organization/monta-vista-capital;4;;Sunnyvale, California, United States;Venture Capital;Monta Vista Capital is an investment company focused on early stage B2B companies.;http://www.montavc.com;;;;4;;;;
Monstro Ventures;https://www.crunchbase.com/organization/monstro-ventures;1;;San Francisco, California, United States;Venture Capital;Monsto Ventures invests in technology companies that are inventive and positively impact the world.;http://monstro.vc/;https://twitter.com/monstro_vc;;;1;;;;
Monsanto Growth Ventures (MGV);https://www.crunchbase.com/organization/monsanto-growth-ventures;16;1;San Francisco, California, United States;Corporate Venture Capital;Monsanto Growth Ventures, a venture capital group, offers technology-based solutions and agricultural products to improve farm productivity.;http://www.monsanto.com/whoweare/pages/monsanto-growth-ventures.aspx;;;;12;7;;;
Monitor Ventures;https://www.crunchbase.com/organization/monitor-ventures;35;3;Los Angeles, California, United States;Venture Capital;Monitor Ventures is an early-stage venture capital firm that partners with exceptional entrepreneurs to commercialize technology into;http://www.monitorventures.com;;;;14;6;;;
MoneyTime Ventures;https://www.crunchbase.com/organization/sbt-venture-capital;11;;Palo Alto, California, United States;Venture Capital;MoneyTime Ventures is General Partner of SBT Venture Fund I, L.P. with $120 mln size with investing in infinite disruption with power scale.;http://moneytime.ventures/;http://moneytime.ventures/;;http://moneytime.ventures/;10;6;;;
Moneta Ventures;https://www.crunchbase.com/organization/moneta-ventures;16;;Folsom, California, United States;Venture Capital;Moneta Ventures is a venture capital firm.;http://www.monetaventures.com;https://twitter.com/monetaventures;;https://www.linkedin.com/company/moneta-ventures-llc;15;9;;;
Monet Capital;https://www.crunchbase.com/organization/monet-capital;8;3;San Jose, California, United States;Venture Capital;Monet Capital is a technology - oriented venture capital firm.;http://www.monetcapital.com;;;;5;;;;
Momentum Venture Management;https://www.crunchbase.com/organization/momentum-venture-management;13;4;Pasadena, California, United States;Venture Capital;Momentum Venture Management helps early-stage companies achieve early business results and develop credibility in order to attract funding;http://www.mvmpartners.com;http://twitter.com/MVMpartners;;;8;2;;;
Moment Ventures;https://www.crunchbase.com/organization/moment-ventures;13;3;Palo Alto, California, United States;Venture Capital;Seed and early stage venture capital firm investing in the Infrastructure of Everything;http://www.momentventures.com;http://twitter.com/MomentVC;https://www.facebook.com/momentvc;http://www.linkedin.com/company/moment-ventures;13;;;;
Mohr Davidow Ventures;https://www.crunchbase.com/organization/mohr-davidow-ventures;272;60;Menlo Park, California, United States;Venture Capital;The Mohr Davidow team partners with exceptional entrepreneurs and startup teams to build category-leading companies.;http://www.mdv.com;http://twitter.com/MohrDavidow;;http://www.linkedin.com/company/mdv;138;78;;;
moglobe;https://www.crunchbase.com/organization/moglobe;;;San Francisco, California, United States;Venture Debt;moglobe is mobile startups.;http://www.moglobe.com;http://twitter.com/moglobemob;;;;;;;
Mod N Labs;https://www.crunchbase.com/organization/modnlabs;4;;San Francisco, California, United States;Angel Group;Mod N Labs is a cybersecurity collaborative helping entrepreneurs build the next generation security companies.;http://www.modnlabs.com/;https://twitter.com/modnlabs;;;3;4;18 months;;
Mixin Capital;https://www.crunchbase.com/organization/mixin-capital;1;;San Mateo, California, United States;Angel Group;Mixin Capital provides seed funding to early stage technology co.;http://www.mixincapital.com;;;;1;;;;
Miven Venture Partners;https://www.crunchbase.com/organization/miven-venture-partners;7;3;Menlo Park, California, United States;Venture Capital;Miven Venture Partners is a multi-stage venture capital firm with a primary focus on investing consumer related technology companies.;;;;;6;1;;;
Mitsui Global Investment;https://www.crunchbase.com/organization/mitsui-ventures;129;36;Menlo Park, California, United States;Corporate Venture Capital;Mitsui Global Investmen is a venture capital fund that focuses on early stage companies. Mitsui's expertise lies in helping;http://mitsui-global.com/;;;http://www.linkedin.com/company/247971;99;17;;;
MITS Fund;https://www.crunchbase.com/organization/mits-fund;3;;Los Altos, California, United States;Venture Capital;MITS Fund is a multi-stage investment fund that supports entrepreneurs in building new companies.;http://www.mitsfund.com/;;;;3;;;;
Mithril Capital Management;https://www.crunchbase.com/organization/mithril-capital-management;23;1;San Francisco, California, United States;Venture Capital;Mithril is a global technology investment firm investing in the technology, macroeconomics and finance sectors.;http://www.mithril.com/;https://twitter.com/ajayatmithril;https://www.facebook.com/mithrilcapital/?fref=nf;https://www.linkedin.com/company/mithril-capital-management-llc;15;12;;;
MIT Angels;https://www.crunchbase.com/organization/mit-angels;2;;San Francisco, California, United States;Angel Group;Entrepreneurship is thriving even in this market. Take a look at some promising new companies with fellow alums as part of MIT Angels. MIT;http://northerncalifornia.alumclub.mit.edu/s/1314/clubs-classes-interior.aspx?sid=1314&gid=25&pgid=6017&sparam=angels&scontid=0;https://www.twitter.com/mit;https://www.facebook.com/mitnews;;2;;;;
Mission Ventures;https://www.crunchbase.com/organization/mission-ventures;91;23;San Diego, California, United States;Venture Capital;Mission Ventures is a California-based venture capital firm providing investment and guidance to early-stage companies in emerging markets.;http://www.missionventures.com/index.php;;;;46;23;;;
Mission Bay Capital;https://www.crunchbase.com/organization/mission-bay-capital-llc;19;2;San Francisco, California, United States;Venture Capital;Mission Bay Capital is a venture capital firm for early-stage investments.;http://www.missionbaycapital.com;;;https://www.linkedin.com/company/1501772?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A1501772%2Cidx%3A1-1-1%2CtarId%3A1442505677591%2Ctas%3AMission%20Bay%20Capital;14;3;;;
Mission and Market;https://www.crunchbase.com/organization/mission-and-market;9;;San Francisco, California, United States;Micro VC;Mission and Market is a micro-venture capital firm focused on seed investments in many areas, including big data, software-powered biotech.;http://angel.co/mission-and-market;;;;8;;;;
Miramar Ventures;https://www.crunchbase.com/organization/miramar-venture-partners;62;13;Corona Del Mar, California, United States;Venture Capital;Miramar Ventures, launched in 2002, is focused on seed and early stage venture capital investing in the mobile sector.;http://www.miramarvp.com;;;https://www.linkedin.com/company/miramar-venture-partners;45;10;;;
Minor Ventures;https://www.crunchbase.com/organization/minor-ventures;11;3;San Francisco, California, United States;Venture Capital;Minor Ventures is a venture capital firm founded by CNET founder Halsey Minor that focuses on early-stage tech and media companies.;http://www.minorventures.com;;;;8;6;;;
Mindfull Investors;https://www.crunchbase.com/organization/mindful-investors;12;3;Mill Valley, California, United States;Venture Capital;Mindfull Investors is a venture capital fund investing in businesses focused on financial success and positively impacting our health.;http://mindfullinvestors.com/;http://twitter.com/mindful01;;;9;1;;;
Mindful Partners;https://www.crunchbase.com/organization/mindfulpartners;2;1;Mill Valley, California, United States;Venture Capital;Mindful Partners;http://www.mindfulpartners.com;;;;2;;;;
Mind the Seed - MTS Fund;https://www.crunchbase.com/organization/mind-the-seed;9;1;San Francisco, California, United States;Micro VC;MTS is the Silicon Valley seed capital fund for startups with an international soul;http://www.mtsfund.co;http://twitter.com/MTSFund;;;9;;;;
Milliways Ventures;https://www.crunchbase.com/organization/milliways-ventures;9;1;Palo Alto, California, United States;Venture Capital;Founded in 2014, Milliways Ventures is a California-based investment firm that funds companies which develop innovative technologies.;http://www.milliwaysventures.com;;;;9;1;;;
Millennium Life Sciences Fund;https://www.crunchbase.com/organization/millennium-life-sciences-fund;2;1;Anaheim, California, United States;Venture Capital;Millennium Life Sciences Fund is a California-based investment fund focused on early and expansion stage companies.;;;;;2;;;;
Millennium Hanson;https://www.crunchbase.com/organization/millennium-hanson;1;1;Marina Del Rey, California, United States;Venture Capital;Millennium Hanson is a venture capital firm specializing in early stage investments.;http://www.millhanson.com/;;;;1;;;;
Milepost Ventures;https://www.crunchbase.com/organization/milepost-ventures;3;1;San Francisco, California, United States;Venture Capital;Milepost Ventures, previously Viridian Capital, was a venture capital firm specializing in investments in information technology,;;;;;2;;;;
MHS Capital;https://www.crunchbase.com/organization/mhs-capital;43;5;San Francisco, California, United States;Venture Capital;MHS Capital is a Venture Capital fund backed by an extraordinary group of technology executives and entrepreneurs, including senior;http://www.mhscapital.com;;;;30;9;;;
MF Capital;https://www.crunchbase.com/organization/mf-capital;8;5;Palo Alto, California, United States;Micro VC;MF Capital is a California-based venture capital company focused on early-stage investments.;http://mfcapital.com;;;;7;;;;
Mezzanine Capital Partners;https://www.crunchbase.com/organization/mezzanine-capital-partners;3;1;San Francisco, California, United States;Venture Capital;The Mezzanine Capital Partners team has been investing in the technology sector together for the last five years and has collectively;http://www.mezzaninecap.com;;;;3;;;;
Mexican.VC;https://www.crunchbase.com/organization/mexicanvc;9;;Atherton, California, United States;Angel Group;We fund lightweight software companies that can scale quickly without a large amount of capital, time, or resources.;http://mexican.vc;http://twitter.com/mexicanvc;http://www.facebook.com/mexican.vc;http://www.linkedin.com/company/mexican-vc;8;;;;
Mesa West Capital;https://www.crunchbase.com/organization/mesa-west-capital;;;Los Angeles, California, United States;Venture Debt;It is a privately held debt fund manager .;http://mesawestcapital.com/;;;https://www.linkedin.com/company/mesa-west-capital;;;;;
Mesa Verde Venture Partners;https://www.crunchbase.com/organization/mesa-verde-venture-partners;17;2;San Diego, California, United States;Venture Capital;Mesa Verde Venture Partners, L.P. is a life sciences venture capital fund founded in San Diego in 2006. Mesa Verde Venture Partners';http://www.mesaverdevp.com;;;;8;3;;;
Merus Capital;https://www.crunchbase.com/organization/merus-capital;40;7;Palo Alto, California, United States;Venture Capital;Software-focused VC that invests in real software solving real problems;http://www.meruscap.com;http://twitter.com/meruscapital;;;25;4;;;
Meruelo Capital Partners;https://www.crunchbase.com/organization/meruelo-capital-partners;1;1;Downey, California, United States;Private Equity Firm;Meruelo Capital Partners is a company who provides construction,engineering, hospitality, real estate and Food services.;http://www.meruelogroup.com;;;;1;1;;;
Meritech Capital Partners;https://www.crunchbase.com/organization/meritech-capital-partners;188;86;Palo Alto, California, United States;Venture Capital;Meritech Capital is a provider of late-stage venture capital to technology companies.;http://www.meritechcapital.com;http://twitter.com/MeritechCapital;http://www.facebook.com/MeritechCapital;;131;91;;;
Merian Ventures;https://www.crunchbase.com/organization/merian-ventures;;;San Francisco, California, United States;Venture Capital;Merian Ventures is a venture capital firm focused on funding women-led innovation and supporting female entrepreneurs.;https://merianventures.com;;;;;;;;
Merchants Acquirers Committee;https://www.crunchbase.com/organization/merchants-acquirers-committee;;;Van Nuys, California, United States;Venture Capital;Merchants Acquirers Committee was added in 2013.;https://www.macmember.org;;;;;;;;
Menlo Ventures;https://www.crunchbase.com/organization/menlo-ventures;446;102;Menlo Park, California, United States;Venture Capital;Menlo Ventures is a venture capital firm providing capital for seed through growth technology companies in the consumer and other sectors.;http://www.menlovc.com;http://twitter.com/menloventures;http://www.facebook.com/menloventures;http://www.linkedin.com/company/menlo-ventures;242;155;;;
Menlo Incubator;https://www.crunchbase.com/organization/menlo-incubator;1;;Atherton, California, United States;Venture Capital;Menlo Incubator is an early stage startup program that focuses heavily on mentorship. We work closely with founders from product launch;http://www.menloincubator.com;http://twitter.com/menloincubator;http://www.facebook.com/menloincubator;;1;;;;
Menlo Capital Group;https://www.crunchbase.com/organization/menlo-capital-group;;;San Francisco, California, United States;Private Equity Firm;Menlo Capital Group was founded in 1977;http://menlocap.com;;;;;;;;
Menlo Atherton Capital;https://www.crunchbase.com/organization/menlo-atherton-capital-2;;;Menlo Park, California, United States;Angel Group;Menlo Atherton Capital is a technology angel investment firm.;http://www.menloathertoncapital.com;;;;;;;;
MemorialCare Innovation Fund;https://www.crunchbase.com/organization/memorialcare-innovation-fund;7;1;Long Beach, California, United States;Venture Capital;MCIF provides strategic investment funding to privately held healthcare companies offering innovative products, services and technologies.;http://www.memorialcareinnovationfund.com;https://twitter.com/memorialcareif;;;4;1;;;
Melton Investments;https://www.crunchbase.com/organization/melton-investments;1;1;Sacramento, California, United States;Venture Capital;Melton Investments is a private company categorized under Investors, nec and located in Sacramento, CA.;http://meltonfinancialgroup.com;;;;1;;;;
MedVenture Associates;https://www.crunchbase.com/organization/medventures-associates;33;6;Emeryville, California, United States;Venture Capital;Identifies and invests in new medical technologies and the entrepreneurs developing them to create the next generation of medical practice.;http://www.medven.com;;;;20;5;;;
Medical Capital Corporation;https://www.crunchbase.com/organization/medical-capital-corporation;1;;Tustin, California, United States;Private Equity Firm;Medical Capital is nationwide provider of accounts receivable financing and other asset-based solutions.;http://www.medicalcapital.com/Home.aspx;;;;1;1;;;
McKinley Investments;https://www.crunchbase.com/organization/mckinley-investments;1;;Pasadena, California, United States;Venture Capital;McKinley Investments was added in 2014.;http://www.mckinleyinvestment.com;;;;1;;;;
McKinley Capital Partners;https://www.crunchbase.com/organization/mckinley-capital-partners;1;;Walnut Creek, California, United States;Venture Capital;McKinley Capital Partners is a real estate investment and operating platform focused on both suburban and urban development opportunities.;http://www.mckinleycp.com;;;;1;;;;
McKessonHBOC;https://www.crunchbase.com/organization/mckessonhboc;1;1;San Francisco, California, United States;Venture Capital;The nation's sole healthcare provider selected for this year's USA Today.;http://www.hboc.com;https://www.twitter.com/mckesson;https://www.facebook.com/mckessoncorporation;;1;;;;
McKesson Ventures;https://www.crunchbase.com/organization/mckesson-ventures;13;;San Francisco, California, United States;Venture Capital;McKesson Ventures is a California-based venture capital that focuses on the healthcare industry.;http://www.mckessonventures.com;https://twitter.com/MCK_Ventures;https://www.facebook.com/McKessonCorporation/timeline?ref=page_internal;https://www.linkedin.com/company/mckesson;11;3;;;
McKenna Management;https://www.crunchbase.com/organization/mckenna-management;2;;Los Altos, California, United States;Venture Capital;McKenna Management is an accredited Association Management Company which provides nonprofit associations with both full-service management.;http://www.mckennas.com;;;;2;;;;
McCulloch Capital;https://www.crunchbase.com/organization/mcculloch-capital-advisors;1;;Burlingame, California, United States;Angel Group;McCulloch Capital helps entrepreneurs build successful ventures. The firm provides seed capital and advisory services.;http://www.mccullochcapital.com;;;;1;;;;
Maywood Capital Partners;https://www.crunchbase.com/organization/maywood-capital-partners;1;1;Redwood City, California, United States;Micro VC;Venture Capital Firm;http://www.maywoodcapital.com;;;;1;;;;
Mayfield Fund;https://www.crunchbase.com/organization/mayfield-fund;399;94;Menlo Park, California, United States;Venture Capital;Silicon Valley-based early-stage venture capital firm with a 45 year successful track record and an investment focus on global IT companies;http://www.mayfield.com;http://twitter.com/MayfieldFund;http://www.facebook.com/MayfieldFund;http://www.linkedin.com/company/mayfield-fund;219;121;;;
Maxim Ventures;https://www.crunchbase.com/organization/maxim-ventures;2;;San Jose, California, United States;Venture Capital;Maxim Ventures invests across many industries, including healthcare, resource management, financial transactions, and factory productivity.;http://www.maximventures.com;;;;2;1;;;
Maxim Commercial Capital;https://www.crunchbase.com/organization/maxim-commercial-capital;;;Los Angeles, California, United States;Corporate Venture Capital;Maxim Commercial Capital is a commercial finance company.;http://www.maximcc.com/;;;;;;;;
Maveron;https://www.crunchbase.com/organization/maveron;142;22;San Francisco, California, United States;Venture Capital;Maveron is a California-based venture capital and private equity firm that finances seed, early, and later stage companies.;http://www.maveron.com;http://twitter.com/maveron;http://www.facebook.com/pages/Maveron/155165766148;http://www.linkedin.com/company/maveron-llc;98;42;;;
Maverick Angels;https://www.crunchbase.com/organization/maverick-angels;2;;Agoura Hills, California, United States;Angel Group;Maverick Angels is an angel group focused on investments in the technology sector.;http://www.maverickangels.com;http://twitter.com/MaverickAngels;http://www.facebook.com/pages/Maverick-Angels/130426340405144;http://www.linkedin.com/company/maverick-angels;2;;;;
Maven Ventures;https://www.crunchbase.com/organization/maven-ventures-vc;27;5;Palo Alto, California, United States;Micro VC;Maven Ventures is the first seed venture fund focused exclusively on consumer software and mobile startups.;http://www.mavenventures.com/;https://twitter.com/mavenvc;https://www.facebook.com/MavenVC;https://www.linkedin.com/company/maven-ventures-vc;23;2;;;
Matrix Partners;https://www.crunchbase.com/organization/matrix-partners;408;85;San Francisco, California, United States;Venture Capital;Matrix Partners is a California-based venture capital firm focused on seed- and early-stage investments.;http://matrixpartners.com;http://twitter.com/matrixpartners;;https://www.linkedin.com/company/27576?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A27576%2Cidx%3A2-1-4%2CtarId%3A1439007477803%2Ctas%3AMatrix%20Partners;227;123;;;
Marlin Equity Partners;https://www.crunchbase.com/organization/marlin-equity-partners;5;1;Hermosa Beach, California, United States;Private Equity Firm;Marlin Equity Partners provides corporate parents, shareholders and stakeholders with solutions to meet their business and liquidity needs.;http://marlinequity.com;http://twitter.com/MarlinEquity;;;4;2;;;
Mark IV Capital;https://www.crunchbase.com/organization/mark-iv-capital;1;;Newport Beach, California, United States;Venture Capital;Mark IV Capital is a company which develop, acquire, own, and manage properties and provider for all the needs of tenants.;http://www.markiv.com;;;;1;1;;;
Marin Venture Capital;https://www.crunchbase.com/organization/marin-venture-capital;1;;Greenbrae, California, United States;Venture Capital;The private company Marin Venture Capital, LLC is located in Greenbrae, CA. Marin Venture Capital, LLC's line of business is security;;;;;1;;;;
Marcus & Millichap;https://www.crunchbase.com/organization/marcus-millichap-venture-partners;7;5;Palo Alto, California, United States;Venture Capital;Founded on Focus - Connected by Technology - Powered by Culture;http://www.marcusmillichap.com;http://twitter.com/mmreis;http://www.facebook.com/pages/Marcus-Millichap/470840972970891;http://www.linkedin.com/company/6346;7;1;;;
